Year,Round,HigherSeed,Score,HigherTeam,LowerTeam,Score,LowerSeed,Winner
2006,4,1,84,Connecticut,George Mason,86,11,George Mason
2006,4,1,62,Villanova,Florida,75,3,Florida
2006,5,4,45,LSU,UCLA,59,2,UCLA
2006,5,11,58,George Mason,Florida,73,3,Florida
2006,6,2,57,UCLA,Florida,73,3,Florida
2007,1,1,112,Florida,Jackson St,69,16,Florida
2007,1,2,76,Wisconsin,Texas A&M Corpus Christi,63,15,Wisconsin
2007,1,3,58,Oregon,Miami Ohio,56,14,Oregon
2007,1,4,82,Maryland,Davidson,70,13,Maryland
2007,1,5,57,Butler,Old Dominion,46,12,Butler
2007,1,6,64,Notre Dame,Winthrop,74,11,Winthrop
2007,1,7,67,UNLV,Georgia Tech,63,10,UNLV
2007,1,8,63,Arizona,Purdue,72,9,Purdue
2007,1,1,107,Kansas,Niagara,67,16,Kansas
2007,1,2,70,UCLA,Weber St,42,15,UCLA
2007,1,3,79,Pittsburgh,Wright St,58,14,Pittsburgh
2007,1,4,61,Southern Illinois,Holy Cross,51,13,Southern Illinois
2007,1,5,54,Virginia Tech,Illinois,52,12,Virginia Tech
2007,1,6,77,Duke,VCU,79,11,VCU
2007,1,7,70,Indiana,Gonzaga,57,10,Indiana
2007,1,8,67,Kentucky,Villanova,58,9,Kentucky
2007,1,1,85,North Carolina,Eastern Kentucky,65,16,North Carolina
2007,1,2,80,Georgetown,Belmont,55,15,Georgetown
2007,1,3,70,Washington St,Oral Roberts,54,14,Washington St
2007,1,4,79,Texas,New Mexico St,67,13,Texas
2007,1,5,77,USC,Arkansas,60,12,USC
2007,1,6,77,Vanderbilt,George Washington,44,11,Vanderbilt
2007,1,7,84,Boston College,Texas Tech,75,10,Boston College
2007,1,8,49,Marquette,Michigan St,61,9,Michigan St
2007,1,1,78,Ohio St,Central Connecticut St,57,16,Ohio St
2007,1,2,73,Memphis,North Texas,58,15,Memphis
2007,1,3,68,Texas A&M,Pennsylvania,52,14,Texas A&M
2007,1,4,84,Virginia,Albany,57,13,Virginia
2007,1,5,121,Tennessee,Long Beach St,86,12,Tennessee
2007,1,6,78,Louisville,Stanford,58,11,Louisville
2007,1,7,77,Nevada,Creighton,71,10,Nevada
2007,1,8,77,BYU,Xavier,79,9,Xavier
2007,2,1,74,Florida,Purdue,67,9,Florida
2007,2,2,68,Wisconsin,UNLV,74,7,UNLV
2007,2,3,75,Oregon,Winthrop,61,11,Oregon
2007,2,4,59,Maryland,Butler,62,5,Butler
2007,2,1,88,Kansas,Kentucky,76,8,Kansas
2007,2,2,54,UCLA,Indiana,49,7,UCLA
2007,2,3,84,Pittsburgh,VCU,79,11,Pittsburgh
2007,2,4,63,Southern Illinois,Virginia Tech,48,5,Southern Illinois
2007,2,1,81,North Carolina,Michigan St,67,9,North Carolina
2007,2,2,62,Georgetown,Boston College,55,7,Georgetown
2007,2,3,74,Washington St,Vanderbilt,78,6,Vanderbilt
2007,2,4,68,Texas,USC,87,5,USC
2007,2,1,78,Ohio St,Xavier,71,9,Ohio St
2007,2,2,78,Memphis,Nevada,62,7,Memphis
2007,2,3,72,Texas A&M,Louisville,69,6,Texas A&M
2007,2,4,74,Virginia,Tennessee,77,5,Tennessee
2007,3,1,65,Florida,Butler,57,5,Florida
2007,3,7,72,UNLV,Oregon,76,3,Oregon
2007,3,1,61,Kansas,Southern Illinois,58,4,Kansas
2007,3,2,64,UCLA,Pittsburgh,55,3,UCLA
2007,3,1,74,North Carolina,USC,64,5,North Carolina
2007,3,2,66,Georgetown,Vanderbilt,65,6,Georgetown
2007,3,1,85,Ohio St,Tennessee,84,5,Ohio St
2007,3,2,65,Memphis,Texas A&M,64,3,Memphis
2007,4,1,85,Florida,Oregon,77,3,Florida
2007,4,1,55,Kansas,UCLA,68,2,UCLA
2007,4,1,84,North Carolina,Georgetown,96,2,Georgetown
2007,4,1,92,Ohio St,Memphis,76,2,Ohio St
2007,5,1,76,Florida,UCLA,66,2,Florida
2007,5,2,60,Georgetown,Ohio St,67,1,Ohio St
2007,6,1,84,Florida,Ohio St,75,1,Florida
2008,1,1,113,North Carolina,Mount St Marys,74,16,North Carolina
2008,1,2,72,Tennessee,American,57,15,Tennessee
2008,1,3,79,Louisville,Boise St,61,14,Louisville
2008,1,4,71,Washington St,Winthrop,40,13,Washington St
2008,1,5,68,Notre Dame,George Mason,50,12,Notre Dame
2008,1,6,72,Oklahoma,St Josephs,64,11,Oklahoma
2008,1,7,81,Butler,South Alabama,61,10,Butler
2008,1,8,72,Indiana,Arkansas,86,9,Arkansas
2008,1,1,85,Kansas,Portland St,61,16,Kansas
2008,1,2,66,Georgetown,UMBC,47,15,Georgetown
2008,1,3,71,Wisconsin,Cal St Fullerton,56,14,Wisconsin
2008,1,4,62,Vanderbilt,Siena,83,13,Siena
2008,1,5,69,Clemson,Villanova,75,12,Villanova
2008,1,6,67,USC,Kansas St,80,11,Kansas St
2008,1,7,76,Gonzaga,Davidson,82,10,Davidson
2008,1,8,71,UNLV,Kent St,58,9,UNLV
2008,1,1,87,Memphis,Texas Arlington,63,16,Memphis
2008,1,2,74,Texas,Austin Peay,54,15,Texas
2008,1,3,77,Stanford,Cornell,53,14,Stanford
2008,1,4,82,Pittsburgh,Oral Roberts,63,13,Pittsburgh
2008,1,5,72,Michigan St,Temple,61,12,Michigan St
2008,1,6,74,Marquette,Kentucky,66,11,Marquette
2008,1,7,78,Miami,St Marys,64,10,Miami
2008,1,8,76,Mississippi St,Oregon,69,9,Mississippi St
